threshold,resumed_count,not_resumed_count,total_count,resumed_ratio
0분-1분,252678,226966,479644,52.68032123825171
1분-2분,51233,93906,145139,35.299264842668066
2분-3분,37303,70726,108029,34.53054272463875
3분-4분,29688,57607,87295,34.008820665559305
4분-5분,25809,52783,78592,32.839220276872965
